date,time,longitude,latitude,attack_type,nearest_country,shore_distance,attack_description,vessel_name,vessel_type
1995-05-31,,50.0833,12.015,Hijacked,SOM,49.57221637,,Bonsella,
1995-06-02,,107.0568,10.344,Boarding,VNM,3.669869041,,Petro Concord,
1995-06-03,,113.4317,16.2216667,Attempted,CHN,88.67048487,,Amer Prabha,
1995-06-04,,121.9667,19.35,Attempted,PHL,15.70478852,,Svea Trader,
1995-06-07,,70.3167,23,Boarding,IND,5.796385225,,Agrilia,
1995-06-09,,114.1333,22.15,Boarding,CHN,3.214374042,,Robin,
1995-06-10,,114.5333,22.7,Hijacked,CHN,0.098898336,,Faesongsan,
1995-06-12,,113.8333,22.1833333,Hijacked,CHN,2.039121421,,GUIA,
1995-06-14,,107.0568,10.344,Boarding,VNM,3.669869041,,Ocean Bird,
1995-06-16,,104.75,-2.9765,Boarding,IDN,32.92288346,,Hafetzah,
1995-06-23,,102.5594,10.2285,Hijacked,KHM,89.31432158,,Hye Mieko,
1995-06-23,,110.4,21.1765,Boarding,CHN,0.06041750519,,Prince of Tokyo,
1995-06-24,,106.875,-6.0886667,Attempted,IDN,4.407541808,,Kassos,
1995-06-30,,104.9167,-2.8033333,Boarding,IDN,31.25467187,,Petro Concord,
1995-07-04,,108.3817,21.4616667,Boarding,CHN,11.06962341,,Dona,
1995-07-04,,101.7333,2.1666667,Attempted,IDN,8.586976628,,General Monarch,
1995-07-07,,70.3221,22.8783,Boarding,IND,4.44019471,,Al Wataniah,
1995-07-07,,70.2203,22.8196667,Boarding,IND,10.43106631,,Al Natania,
1995-07-14,,114.14,20.1166667,Boarding,CHN,208.529519,,Summer,
1995-07-18,,114.1667,22.1166667,Boarding,CHN,7.213017487,,Amorgos,
1995-07-19,,113.8933,22.0733333,Boarding,CHN,14.53120548,,Ikan Selangat,
1995-07-20,,115.8583,-5.0166667,Attempted,IDN,22.28486119,,ICL Rajarajan,
1995-07-23,,104.9167,-2.3,Boarding,IDN,1.660206584,,Trans Hercules,
1995-07-23,,113.8,22.1166667,Boarding,CHN,10.11223592,,Stalo,
1995-07-23,,-77.1667,-12.0167,Boarding,PER,2.455616305,,LPG EMSGAS,
1995-07-24,,114.24,22.1266667,Hijacked,CHN,7.524708543,,Milen Trung,
1995-07-30,,-43.1667,-22.8933333,Boarding,BRA,0.5391398523,,Hanso Clipper,
1995-07-31,,114.1333,22.15,Boarding,CHN,3.214374042,,MT Star Orchid,
1995-07-31,,114.1333,22.15,Boarding,CHN,3.214374042,,Sang Thai,
1995-08-01,,113.8933,22.075,Attempted,CHN,14.34757456,,MV Ikan Selangat,
1995-08-01,,91.7932,22.2166667,Boarding,BGD,2.329971162,,Inzhener Yamburenko,
1995-08-02,,105.1667,-5.4666667,Boarding,IDN,8.927250019,,Gotze Delchev,
1995-08-04,,79.8432,6.95,Boarding,LKA,1.450377734,,Nedlloyd Sao Paolo,
1995-08-05,,113.4167,23.08333333,Boarding,CHN,1.514723112,,Her Fah,
1995-08-06,,114.16,22.1166667,Boarding,CHN,7.032910972,,Her Fah,
1995-08-07,,114.6833,22.0666667,Attempted,CHN,38.52289236,,President Harrison,
1995-08-10,,3.4167,6.4166667,Boarding,NGA,0.5737189299,,Kelvin Fortune,
1995-08-10,,113.7917,22.1216667,Boarding,CHN,10.08155668,,Erasmusgracht,
1995-08-14,,107.85,6.9,Attempted,IDN,235.9127034,,British Esk,
1995-08-14,,114.1333,22.15,Boarding,CHN,3.214374042,,National Dignity,
1995-08-16,,4.6667,5.1141,Boarding,NGA,72.82304981,,Lady Diana,
1995-08-22,,-43.1667,-22.8933333,Boarding,BRA,0.5391398523,,Nedlloyd Cristobal,
1995-08-22,,108.0833,0.75,Boarding,IDN,60.83166495,,Essberger Pilot,
1995-08-23,,-46.2872,-23.9761667,Attempted,BRA,0.5597724632,,Tamatiki,
1995-08-23,,-43.1667,-22.8933333,Boarding,BRA,0.5391398523,,Nedlloyd Cristobal,
1995-08-31,,114.9,21.4166667,Attempted,CHN,93.05592021,,Aries,
1995-09-10,,88.0717,21.8783333,Boarding,IND,0.5280408259,,Sunny Diamond,
1995-09-13,,102,11.25,Hijacked,THA,69.90770353,,Anna Sierra,
1995-09-13,,100.6067,13.3516667,Boarding,THA,18.45410035,,Nzol'Contender,
1995-09-20,,79.8432,6.95,Boarding,LKA,1.450377734,,Tiger Speed,
1995-09-28,,79.8133,7,Boarding,LKA,5.226616052,,Cathay Rainbow,
1995-10-04,,17.1932,40.4265,Boarding,ITA,0.901596811,,Duhallow,
1995-10-07,,70.2203,22.8196667,Attempted,IND,10.43106631,,Torm Gotland,
1995-10-08,,70.2195,22.8937,Boarding,IND,6.669700385,,Bow Lady,
1995-10-10,,88.3167,22.53333333,Boarding,IND,40.73984547,,Yun Cheng,
1995-10-15,,-46.3167,-24.0925,Boarding,BRA,8.432210554,,CMBT America,
1995-10-15,,114.1833,22.26666667,Boarding,CHN,1.477877473,,Australian Endeavour,
1995-10-17,,79.8432,6.95,Boarding,LKA,1.450377734,,Hastula,
1995-10-18,,119.4,-5.133333333,Boarding,IDN,1.096666353,,Atoyak,
1995-10-18,,100.6067,13.3516667,Boarding,THA,18.45410035,,Socofl Wave,
1995-10-19,,-46.2872,-23.9761667,Boarding,BRA,0.5597724632,,Nedlloyd Zeelandia,
1995-10-19,,-46.2872,-23.9761667,Boarding,BRA,0.5597724632,,TRSL Concord,
1995-10-23,,-43.1667,-22.8933333,Boarding,BRA,0.5391398523,,Siboeif,
1995-10-30,,-13.7167,9.516666667,Boarding,GIN,0.6667182262,,Dodo,
